Submission Time,Status,Role,In-Person Comfort,Learning Preference
6/12/2020 16:07,Completed,Teacher,Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:07,Completed,Teacher,Very Uncomfortable,Digital Only
6/12/2020 16:35,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:08,Completed,"School Classified Staff (custodian, paraprofessional, clerk, etc.)",Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:04,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:06,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Comfortable,In-Person
6/12/2020 16:03,Completed,District Classified Staff,Comfortable,In-Person
6/12/2020 16:11,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:04,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:07,Completed,"School Classified Staff (custodian, paraprofessional, clerk, etc.)",Comfortable,In-Person
6/12/2020 16:05,Completed,Teacher,Uncomfortable,Digital Only
6/12/2020 16:04,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:03,Completed,District Certified Staff,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:04,Completed,District Certified Staff,Very Uncomfortable,Digital Only
6/12/2020 16:05,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:06,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:02,Completed,District Certified Staff,Very Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:04,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Very Comfortable,In-Person
6/12/2020 16:08,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:07,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:04,Completed,School Nutrition Staff Member,Very Comfortable,In-Person
6/12/2020 16:04,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:03,Completed,District Classified Staff,Very Comfortable,In-Person
6/12/2020 16:06,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:04,Completed,District Certified Staff,Comfortable,In-Person
6/12/2020 16:06,Completed,"School Classified Staff (custodian, paraprofessional, clerk, etc.)",Comfortable,In-Person
6/12/2020 16:05,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:04,Completed,"School Classified Staff (custodian, paraprofessional, clerk, etc.)",Very Comfortable,In-Person
6/12/2020 16:05,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 17:21,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:09,Completed,District Classified Staff,Uncomfortable,In-Person
6/12/2020 16:04,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Very Comfortable,In-Person
6/12/2020 16:20,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:08,Completed,Teacher,Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:09,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:07,Completed,"School Classified Staff (custodian, paraprofessional, clerk, etc.)",Comfortable,In-Person
6/12/2020 16:04,Completed,Transportation Staff Member,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:07,Completed,Teacher,Uncomfortable,Digital Only
6/12/2020 16:04,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:37,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:04,Completed,Teacher,Very Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:06,Completed,District Certified Staff,Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:08,Completed,Teacher,Very Uncomfortable,Digital Only
6/12/2020 16:04,Completed,Teacher,Very Uncomfortable,Digital Only
6/12/2020 16:06,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:09,Completed,Teacher,Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:04,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:06,Completed,District Classified Staff,Uncomfortable,Digital Only
6/12/2020 16:03,Completed,School Admin,Very Comfortable,In-Person
6/12/2020 16:49,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:09,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:12,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:06,Completed,Teacher,Uncomfortable,Digital Only
6/12/2020 21:01,Completed,Teacher,Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:04,Completed,Teacher,Uncomfortable,Digital Only
6/12/2020 16:43,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:04,Completed,Teacher,Comfortable,In-Person
6/17/2020 11:31,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:10,Completed,District Certified Staff,Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:06,Completed,Teacher,Very Uncomfortable,Digital Only
6/12/2020 16:15,Completed,Teacher,Uncomfortable,In-Person
6/12/2020 16:05,Completed,Teacher,Very Uncomfortable,Digital Only
6/12/2020 16:07,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Very Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:05,Completed,"School Classified Staff (custodian, paraprofessional, clerk, etc.)",Comfortable,In-Person
6/12/2020 16:17,Completed,District Classified Staff,Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:03,Completed,Teacher,Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:05,Completed,Teacher,Very Comfortable,In-Person
6/19/2020 7:48,Completed,District Certified Staff,Uncomfortable,Digital Only
6/12/2020 16:07,Completed,District Certified Staff,Comfortable,In-Person
6/12/2020 16:05,Completed,District Classified Staff,Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:08,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 17:56,Completed,Teacher,Very Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:07,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:12,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:15,Completed,School Admin,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:04,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:04,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:05,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:13,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:03,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Very Comfortable,In-Person
6/12/2020 16:04,Completed,School Admin,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:08,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:03,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:15,Completed,Teacher,Very Uncomfortable,Digital Only
6/12/2020 22:56,Completed,"School Classified Staff (custodian, paraprofessional, clerk, etc.)",Very Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:09,Completed,Teacher,Uncomfortable,Digital Only
6/12/2020 17:29,Completed,"School Classified Staff (custodian, paraprofessional, clerk, etc.)",Very Comfortable,In-Person
6/12/2020 16:06,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:07,Completed,Teacher,Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:04,Completed,Teacher,Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:04,Completed,Teacher,Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 18:56,Completed,Teacher,Comfortable,Digital Only
6/12/2020 16:16,Completed,District Classified Staff,Uncomfortable,In-Person
6/12/2020 16:09,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:06,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:06,Completed,Teacher,Uncomfortable,Digital Only
6/12/2020 16:07,Completed,School Admin,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:18,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/16/2020 16:51,Completed,Teacher,Very Uncomfortable,Digital Only
6/12/2020 16:15,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:07,Completed,Teacher,Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:07,Completed,Teacher,Very Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:06,Completed,"School Classified Staff (custodian, paraprofessional, clerk, etc.)",Very Comfortable,In-Person
6/12/2020 16:05,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Uncomfortable,In-Person
6/12/2020 16:05,Completed,Teacher,Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:06,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 17:38,Completed,School Nutrition Staff Member,Comfortable,In-Person
6/12/2020 16:09,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:04,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:05,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:06,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Comfortable,In-Person
6/12/2020 16:07,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:04,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:05,Completed,Teacher,Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:09,Completed,District Certified Staff,Very Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:18,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Comfortable,In-Person
6/12/2020 16:06,Completed,Teacher,Very Uncomfortable,Digital Only
6/12/2020 16:06,Completed,Transportation Staff Member,Very Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:18,Completed,"School Classified Staff (custodian, paraprofessional, clerk, etc.)",Comfortable,In-Person
6/12/2020 16:09,Completed,"School Classified Staff (custodian, paraprofessional, clerk, etc.)",Very Comfortable,In-Person
6/12/2020 16:11,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:05,Completed,District Certified Staff,Comfortable,In-Person
6/12/2020 16:04,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:07,Completed,Teacher,Very Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/18/2020 9:35,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:05,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:07,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:05,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:05,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Comfortable,In-Person
6/12/2020 16:03,Completed,Teacher,Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:07,Completed,District Certified Staff,Very Comfortable,In-Person
6/12/2020 16:08,Completed,Teacher,Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:07,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:04,Completed,District Classified Staff,Very Comfortable,In-Person
6/16/2020 18:32,Completed,School Admin,Very Uncomfortable,Digital Only
6/12/2020 16:06,Completed,Teacher,Very Uncomfortable,Digital Only
6/12/2020 16:05,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:05,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:04,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:16,Completed,Teacher,Very Uncomfortable,Digital Only
6/12/2020 16:05,Completed,"School Classified Staff (custodian, paraprofessional, clerk, etc.)",Very Comfortable,In-Person
6/12/2020 16:12,Completed,Teacher,Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:09,Completed,School Admin,Comfortable,In-Person
6/12/2020 16:09,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:12,Completed,Teacher,Very Uncomfortable,Digital Only
6/12/2020 16:05,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:06,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:06,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Very Comfortable,In-Person
6/12/2020 16:04,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:07,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:08,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:04,Completed,School Nutrition Staff Member,Very Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:04,Completed,Teacher,Comfortable,Digital Only
6/12/2020 16:10,Completed,"School Classified Staff (custodian, paraprofessional, clerk, etc.)",Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:10,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:04,Completed,Teacher,Very Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:04,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:05,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:07,Completed,School Nutrition Staff Member,Uncomfortable,Digital Only
6/12/2020 16:06,Completed,"School Classified Staff (custodian, paraprofessional, clerk, etc.)",Comfortable,In-Person
6/12/2020 16:05,Completed,Teacher,Uncomfortable,Digital Only
6/12/2020 16:50,Completed,Teacher,Very Uncomfortable,Digital Only
6/12/2020 16:12,Completed,"School Classified Staff (custodian, paraprofessional, clerk, etc.)",Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:06,Completed,"School Classified Staff (custodian, paraprofessional, clerk, etc.)",Comfortable,In-Person
6/12/2020 16:07,Completed,District Classified Staff,Comfortable,In-Person
6/12/2020 16:11,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:05,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:05,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 19:15,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:05,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Very Uncomfortable,Digital Only
6/12/2020 16:05,Completed,District Classified Staff,Uncomfortable,In-Person
6/12/2020 16:08,Completed,School Nutrition Staff Member,Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:07,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:11,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:05,Completed,District Certified Staff,Very Comfortable,In-Person
6/12/2020 16:05,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:47,Completed,"School Classified Staff (custodian, paraprofessional, clerk, etc.)",Very Uncomfortable,Digital Only
6/12/2020 16:47,Completed,Teacher,Very Uncomfortable,Digital Only
6/12/2020 16:05,Completed,Teacher,Comfortable,Digital Only
6/12/2020 16:09,Completed,Teacher,Very Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:08,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/17/2020 9:57,Completed,Teacher,Very Uncomfortable,Digital Only
6/12/2020 16:03,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:09,Completed,Transportation Staff Member,Uncomfortable,Digital Only
6/12/2020 16:06,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Comfortable,In-Person
6/12/2020 16:09,Completed,Teacher,Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/15/2020 14:59,Completed,Teacher,Very Uncomfortable,Digital Only
6/12/2020 16:17,Completed,Teacher,Uncomfortable,In-Person
6/12/2020 16:07,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:04,Completed,Teacher,Very Uncomfortable,Digital Only
6/12/2020 16:05,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:07,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:10,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:07,Completed,District Certified Staff,Comfortable,In-Person
6/12/2020 16:08,Completed,Teacher,Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:04,Completed,"School Classified Staff (custodian, paraprofessional, clerk, etc.)",Very Comfortable,In-Person
6/12/2020 16:05,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:05,Completed,"School Classified Staff (custodian, paraprofessional, clerk, etc.)",Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:07,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Very Comfortable,In-Person
6/12/2020 16:07,Completed,Teacher,Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:05,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:06,Completed,"School Classified Staff (custodian, paraprofessional, clerk, etc.)",Very Comfortable,In-Person
6/12/2020 16:05,Completed,School Admin,Very Comfortable,In-Person
6/15/2020 10:48,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:08,Completed,Teacher,Uncomfortable,Digital Only
6/12/2020 16:28,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:07,Completed,Teacher,Uncomfortable,Digital Only
6/12/2020 16:04,Completed,Teacher,Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:05,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:05,Completed,Teacher,Very Uncomfortable,Digital Only
6/12/2020 16:07,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Comfortable,In-Person
6/12/2020 16:06,Completed,Teacher,Very Uncomfortable,Digital Only
6/12/2020 16:21,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:11,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:04,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:21,Completed,District Classified Staff,Very Uncomfortable,Digital Only
6/12/2020 16:04,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:13,Completed,Teacher,Very Uncomfortable,Digital Only
6/12/2020 19:25,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:06,Completed,Teacher,Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 18:17,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:08,Completed,School Nutrition Staff Member,Very Uncomfortable,Digital Only
6/12/2020 16:16,Completed,Teacher,Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:08,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:51,Completed,Teacher,Uncomfortable,Digital Only
6/12/2020 16:09,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:17,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:11,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:06,Completed,Teacher,Uncomfortable,Digital Only
6/12/2020 16:08,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:10,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:04,Completed,Teacher,Very Uncomfortable,Digital Only
6/12/2020 16:05,Completed,Transportation Staff Member,Very Comfortable,In-Person
6/12/2020 16:09,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:04,Completed,Teacher,Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:09,Completed,Teacher,Very Uncomfortable,Digital Only
6/16/2020 9:55,Completed,District Classified Staff,Comfortable,In-Person
6/12/2020 16:14,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:13,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Very Comfortable,In-Person
6/12/2020 16:09,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:09,Completed,"School Classified Staff (custodian, paraprofessional, clerk, etc.)",Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:08,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:04,Completed,Teacher,Uncomfortable,Digital Only
6/12/2020 16:18,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:06,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Very Comfortable,In-Person
6/12/2020 16:08,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:09,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:06,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:16,Completed,District Classified Staff,Comfortable,In-Person
6/12/2020 16:06,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:09,Completed,Teacher,Very Uncomfortable,Digital Only
6/12/2020 16:07,Completed,School Admin,Comfortable,In-Person
6/12/2020 21:56,Completed,Teacher,Comfortable,In-Person
6/13/2020 12:13,Completed,Teacher,Very Uncomfortable,Digital Only
6/12/2020 16:08,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:07,Completed,School Nutrition Staff Member,Very Comfortable,In-Person
6/12/2020 16:05,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:07,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:09,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:10,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:21,Completed,Teacher,Very Uncomfortable,Digital Only
6/12/2020 16:32,Completed,Teacher,Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:13,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:09,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Very Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:05,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:19,Completed,District Certified Staff,Very Uncomfortable,Digital Only
6/12/2020 16:04,Completed,District Certified Staff,Very Uncomfortable,Digital Only
6/12/2020 16:10,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:04,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:06,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:06,Completed,Teacher,Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:10,Completed,Teacher,Uncomfortable,Digital Only
6/12/2020 16:07,Completed,Teacher,Very Uncomfortable,Digital Only
6/12/2020 16:11,Completed,Teacher,Very Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:06,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:17,Completed,School Admin,Comfortable,In-Person
6/18/2020 14:26,Completed,Teacher,Very Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:17,Completed,District Certified Staff,Very Comfortable,In-Person
6/12/2020 16:07,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Uncomfortable,Digital Only
6/12/2020 16:07,Completed,"School Certified Staff (LSTC, counselor, media specialist, etc.)",Comfortable,In-Person
6/12/2020 16:08,Completed,Teacher,Uncomfortable,Digital Only
6/12/2020 16:09,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:10,Completed,Teacher,Comfortable,In-Person
6/12/2020 16:11,Completed,Teacher,Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:05,Completed,"School Classified Staff (custodian, paraprofessional, clerk, etc.)",Uncomfortable,Digital Only
6/12/2020 16:06,Completed,Teacher,Comfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:12,Completed,Teacher,Very Comfortable,In-Person
6/12/2020 16:08,Completed,"School Classified Staff (custodian, paraprofessional, clerk, etc.)",Very Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
6/12/2020 16:14,Completed,"School Classified Staff (custodian, paraprofessional, clerk, etc.)",Uncomfortable,In-Person
6/12/2020 16:34,Completed,Teacher,Uncomfortable,"Hybrid (K-2 In-Person, 3-12 Digital)"
